id;nazwa;info_zab;cena
"ZCABCI3EB";"Canon BCI-3E black";"ZB";"0.0"
"ZCABCI3EC";"Canon BCI-3E cyan";"ZB";"0.0"
"ZCABCI3EM";"Canon BCI-3E magenta";"ZB";"0.0"
"ZCABCI3EPB";"Canon BCI-3E photo black";"ZB";"0.0"
"ZCABCI3EPC";"Canon BCI-3E photo cyan";"ZB";"0.0"
"ZCABCI3EY";"Canon BCI-3E yellow";"ZB";"0.0"
"ZCABCI3PB";"Canon BCI-3P black";"ZB";"0.0"
"ZCABCI3PC";"Canon BCI-3P cyan";"ZB";"0.0"
"ZCABCI3PM";"Canon BCI-3P magenta";"ZB";"0.0"
"ZCABCI3PY";"Canon BCI-3P yellow";"ZB";"0.0"
"ZCABCI6B";"Canon BCI-6 black";"ZB";"0.0"
"ZCABCI6C";"Canon BCI-6 cyan";"ZB";"0.0"
"ZCABCI6M";"Canon BCI-6 magenta";"ZB";"0.0"
"ZCABCI6PC";"Canon BCI-6 photo cyan";"ZB";"0.0"
"ZCABCI6PM";"Canon BCI-6 photo magenta";"ZB";"0.0"
"ZCABCI6Y";"Canon BCI-6 yellow";"ZB";"0.0"
"ZGCABX2";"Canon BX-2";"ZB";"0.0"
"ZGCABX20";"Canon BX-20";"ZB";"0.0"
"ZGCABX3";"Canon BX-3";"0.0";"0.0"
"ZGCABX3I";"Canon BX-3 NV";"0.0";"0.0"
"cl211";"Canon CL-211";"0.0";"0.0"
"ZCACL246";"Canon CL-246";"0.0";"0.0"
"ZCACL246XL";"Canon CL-246XL";"0.0";"0.0"
"ZCACLI36C";"Canon CL-36 color";"ZB";"0.0"
"ZGCACL38C";"Canon CL-38";"6.0";"6.0"
"ZGCACL38CI";"Canon CL-38  NV";"2.0";"2.0"
"ZGCACL41C";"Canon CL-41";"6.0";"6.0"
"ZGCACL41CI";"Canon CL-41  NV";"2.0";"2.0"
"ZCA446C";"Canon CL-446 col";"0.0";"0.0"
"ZGCACL51C";"Canon CL-51";"6.0";"6.0"
"ZGCACL51CI";"Canon CL-51  NV";"2.0";"2.0"
"ZGCACL511C";"Canon CL-511";"12.0";"12.0"
"ZGCACL511CI";"Canon CL-511  NV";"2.0";"2.0"
"ZGCAPG513B";"Canon CL-513";"12.0";"12.0"
"ZGCACL513CI";"Canon CL-513  NV";"2.0";"2.0"
"ZGCACL541C";"Canon CL-541";"25.0";"25.0"
"ZGCACL541CI";"Canon CL-541  NV";"2.0";"2.0"
"ZGCACL541XLC";"Canon CL-541 XL";"25.0";"25.0"
"ZCCACL540CXLI";"Canon CL-541 XL NV";"2.0";"2.0"
"ZGCACL546C";"Canon CL-546";"23.0";"23.0"
"ZGCACL546CI";"Canon CL-546 NV";"2.0";"2.0"
"ZGCACL546CXL";"Canon CL-546XL";"23.0";"23.0"
"ZGCACL546CXLI";"Canon CL-546XL NV";"2.0";"2.0"
"ZCCACL561";"Canon CL-561 col";"25.0";"25.0"
"ZCCACL561I";"Canon CL-561 col  NV";"2.0";"2.0"
"ZCCACL561XL";"Canon CL-561XL col";"25.0";"25.0"
"ZCCACL561XLI";"Canon CL-561XL col  NV";"2.0";"2.0"
"ZCACL576";"Canon CL-576";"15.0";"15.0"
"ZCACL576XL";"Canon CL-576XL";"15.0";"15.0"
"ZCACL586";"Canon CL-586";"15.0";"15.0"
"ZCACL586XL";"Canon CL-586XL";"15.0";"15.0"
"ZCACL746";"Canon CL-746 col";"0.0";"0.0"
"ZCACL746XL";"Canon CL-746XL col";"0.0";"0.0"
"ZCACLI42B";"Canon CLI-42 black";"ZB";"0.0"
"ZCACLI42C";"Canon CLI-42 cyan";"ZB";"0.0"
"ZCACLI42G";"Canon CLI-42 grey";"ZB";"0.0"
"ZCACLI42LG";"Canon CLI-42 light grey";"ZB";"0.0"
"ZCACLI42M";"Canon CLI-42 magenta";"ZB";"0.0"
"ZCACLI42PC";"Canon CLI-42 photo cyan";"ZB";"0.0"
"ZCACLI42PM";"Canon CLI-42 photo magenta";"ZB";"0.0"
"ZCACLI42Y";"Canon CLI-42 yellow";"ZB";"0.0"
"cli521";"Canon CLI-521";"ZB";"0.0"
"cli526";"Canon CLI-526";"ZB";"0.0"
"ZCCACLI%%!CMY";"Canon CLI-551 cmy   START";"ZB";"0.0"
"ZGCACLI550C";"Canon CLI-551 cyan";"0.0";"0.0"
"ZGCACLI551M";"Canon CLI-551 magenta";"0.0";"0.0"
"ZGCACLI551Y";"Canon CLI-551 yellow";"0.0";"0.0"
"ZCACLI551B";"Canon CLI-551BK black";"0.0";"0.0"
"ZCACLI551GY";"Canon CLI-551GY grey";"0.0";"0.0"
"ZCACLI551XLBK";"Canon CLI-551XL BK black";"0.0";"0.0"
"ZGCACLI551XLC";"Canon CLI-551XL C cyan";"0.0";"0.0"
"ZCACLI551XLGY";"Canon CLI-551XL GY grey";"0.0";"0.0"
"ZGCACLI551XLM";"Canon CLI-551XL M magenta";"0.0";"0.0"
"ZGCACLI551XLY";"Canon CLI-551XL yellow";"0.0";"0.0"
"ZGCACLI571S";"Canon CLI-571  START mix";"0.0";"0.0"
"ZCACLI571B";"Canon CLI-571 black";"0.0";"0.0"
"ZGCACLI571C";"Canon CLI-571 cyan";"0.0";"0.0"
"ZCAPGI571G";"Canon CLI-571 grey";"0.0";"0.0"
"ZGCACLI571M";"Canon CLI-571 magenta";"0.0";"0.0"
"ZGCACLI571Y";"Canon CLI-571 yellow";"0.0";"0.0"
"ZCACLI571XLB";"Canon CLI-571XL black";"0.0";"0.0"
"ZGCACLI571XLC";"Canon CLI-571XL cyan";"0.0";"0.0"
"ZCCACLI571XLG";"Canon CLI-571XL grey";"0.0";"0.0"
"ZGCACLI571XLM";"Canon CLI-571XL magenta";"0.0";"0.0"
